0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:14:54 +0700] "GET / HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:14:55 +0700] "GET /assets/css/main.css HTTP/1.1" 200 46059
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:14:55 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:14:55 +0700] "GET /home HTTP/1.1" 200 12892
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:14:56 +0700] "GET /auth HTTP/1.1" 200 12314
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:03 +0700] "POST /auth;jsessionid=D3E227002E1D5E79D24A411171A91E42 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:03 +0700] "GET /admin HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:03 +0700] "GET /assets/css/Admin.css HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:04 +0700] "GET /assets/Script/admin.js HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:09 +0700] "GET /admin/shops HTTP/1.1" 200 18438
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:11 +0700] "GET /admin/kycs HTTP/1.1" 200 31925
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:11 +0700] "GET /kyc/buyer_front.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:11 +0700] "GET /kyc/buyer_back.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:11 +0700] "GET /kyc/buyer_selfie.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [09/Nov/2025:21:15:11 +0700] "GET /kyc/seller_front.jpg HTTP/1.1" 404 776
